단어,뜻
알티,‘리트윗(ReTweet)’의 약자. 트위터에서 다른 계정의 게시물을 자신의 계정에 공유하는 기능을 의미함.
공구,공동구매의 줄임말. 비용 절감 등을 이유로 특정 물건을 단체로 사는 구매 방식.
버튜버,‘버추얼 유튜버’의 줄임말. 모션 캡처 등을 활용해 표정과 움직임을 실시간으로 따라하는 아바타를 내세워 방송하는 유튜버.
코덕,화장품(Cosmetic) 덕후를 부르는 말.
긱시크,괴짜를 뜻하는 ‘긱(Geek)’과 세련됨을 의미하는 ‘시크(Chic)’를 합친 말. 2024년 유행하는 패션 유행. 뿔테안경이 대표 아이템.
점메추,‘점심 메뉴 추천’의 줄임말.
ㅈㅂㅈㅇ,정보좀요의 초성을 따서 만든 MZ세대 신조어. 모르는 사람에게 제품 정보를 물어볼 때 사용함.
폰꾸,폰꾸미기의 줄임말.
역트렌드,주류 트렌드에 대한 반작용으로 반대편에 있는 트렌드가 주목받는 현상
실트,엑스(구 트위터) ‘실시간 트렌드’라는 뜻. 현재 많이 언급되고 있는 주제를 프로그램이 인지해 실시간 트렌드로 올리기 때문에 지금 무엇이 화제인지 알 수 있음.
자만추,‘자연스러운 만남 추구’를 줄여 부르는 Z세대 신조어.
연뮤덕,‘연극 뮤지컬 덕후’의 줄임말
K힙,"한국적인 멋을 잘 녹여낸 굿즈, 공간, 관광, 식품이 Z세대 사이에서 '힙 하다'고 여겨지는 경향."
이어북,1990년대 하이틴 분위기가 느껴지는 미국의 졸업앨범
라포,사람과 사람 사이에 형성되는 친밀감과 신뢰관계를 뜻하는 심리학 용어
프리츠커 상,건축계의 노벨상. 현존하는 건축 분야의 상 가운데 가장 큰 권위를 지닌 것으로 평가 받음.
코스프레,"‘코스튬 플레이(costume play)’의 줄임말. 게임·만화 속 캐릭터로 분장하고, 그들과 비슷한 행동을 흉내내는 것을 뜻함. 넓게는 누군가를 흉내내는 것에도 코스프레라는 단어를 활용함."
도파민 중독,도파민이란 쾌락을 느끼게 해주는 신경전달물질을 뜻함. 도파민 중독이란 자극적인 콘텐츠만을 소비하며 도파민을 좇는 상태를 의미함.
무지출 챌린지,2023년 유행하기 시작한 절약 방식. 하루 지출 0원을 목표로 소비하는 것을 뜻함.
짠테크,짠돌이와 재테크의 합성어. 불필요한 소비를 줄여서 돈을 모으는 저축 방식.
써방,‘서치(써치) 방지’의 줄임말. 특정 단어가 검색이 되지 않도록 작성하는 것을 뜻함.
로컬 힙,"특정 지역만의 색깔이 담긴 식품, 공간, 관광, 굿즈, 서비스가 Z세대 사이에서 힙하게 여겨지는 경향."
콜북,"‘콜렉트북’의 줄임말로, 연예인 포토카드를 모아두는 앨범을 뜻함"
이세계아이돌,트위치 스트리머 ‘우왁굳’이 기획한 버추얼 아이돌
블록코어,스포츠 유니폼을 일상복처럼 입거나 일상복에 접목한 패션 스타일
감성계,SNS 내에서 자신의 일상을 감성 사진과 함께 올리는 계정을 일컫는 말
고프코어,아웃도어 제품을 일상복과 매치하는 스타일.
디지털 굿즈,"휴대폰·아이패드 배경화면, 카카오톡 테마 등 디지털 환경에 적용해서 사용할 수 있는 템플릿. 실물 굿즈가 아닌 온라인에서 배포할 수 있다는 점이 특징."
J형,MBTI 유형 중 ‘J형(Judging·판단형)’을 부르는 말. 주로 계획을 철저하게 지키는 성향이 있다고 알려짐.
뷰잉파티,여러 사람들과 한 공간에서 경기 중계 방송을 시청하는 실내 응원전
크리에이터 세대,콘텐츠를 직접 만드는 것이 익숙한 세대. 크리에이터 자아를 중요한 정체성으로 여김.
10cm 인형,아이돌과 닮은 캐릭터를 활용해 만든 10cm 크기의 작은 인형
게임 시네마틱 트레일러,게임의 핵심이 되는 세계관과 스토리를 ‘영화 예고편’처럼 풀어낸 영상을 뜻함.
야푸,‘야구 푸드’의 줄임말. 야구 경기를 관람하면서 먹는 음식을 부르는 Z세대 신조어.
올드머니룩,"전통적인 부자들이 즐겨 입는 패션이라는 의미. 로고가 돋보이지 않고, 심플한 컬러와 단정한 디자인이 특징."
추구미,"‘추구하는 아름다움(美)’이라는 의미의 Z세대 신조어. ‘워너비, 이상향’과 비슷한 용례로 쓰임."
랜덤깡,랜덤 상품을 여러 개 구입해 열어보는 일을 부르는 말. ‘언박싱’과 비슷한 의미.
텅장,잔고가 없어 텅 빈 통장을 뜻함.
직접 추가,인스타그램에서 다른 사용자가 올린 게시물과 엮어서 새로운 게시물을 올릴 수 있는 기능.
드르륵갉,편의점 앞에 비치된 의자에 앉아 속마음을 털어놓는 걸 부르는 온라인 유행어.
타래,트위터에서 답변 기능을 활용해 게시물 여러 개를 이어서 올리는 걸 부르는 말.
짤털,‘짤 털기’의 줄임말. 온라인 게시판이나 SNS에 대량의 사진을 한꺼번에 올리는 일을 부르는 말.
비공굿,‘비공식 굿즈’의 줄임말. 금손 팬이 직접 만드는 굿즈를 뜻함.
자컨,‘자체 제작 컨텐츠’의 줄임말. 방송사가 아닌 소속사가 직접 제작하는 아티스트 관련 콘텐츠를 말함.
이스터에그,콘텐츠나 이벤트 등에 숨겨진 메시지나 기능
시참,‘시청자 참여’의 줄임말. 게임 스트리머의 실시간 게임 방송에 시청자들이 직·간접적으로 함께 참여하는 것을 뜻함.
셀프 분석 서비스,"성격 유형 검사, 퍼스널 컬러, 유전자 검사 등 자기 자신을 더욱 심층적으로 알아보기 위해 받아보는 검사를 총칭함."
셀프 캐해,"셀프로 나의 캐릭터를 해석한다는 뜻으로, 스스로의 특징을 분석해 나의 이미지를 설정하는 것을 말함. MBTI 테스트가 대표적인 셀프캐해 콘텐츠."
피케팅,‘피 튀기는 경쟁률을 자랑하는 티케팅’의 줄임말.
징검다리 소비,"징검다리에 돌 하나를 추가하듯, 물건을 저렴하게 사기 위해 하나 이상의 사전 절차를 밟는 소비 패턴"
착붙,‘착 달라붙는다’의 줄임말. 잘 어울린다는 의미로 쓰임.
도파민,인체에 분비되는 신경전달물질로 쾌락을 느끼게 해주는 것으로 알려져 있음.
스팀,글로벌 게임 플랫폼.
에브리타임,학교별 게시판이 운영되는 대학교 커뮤니티 서비스.
맛도리,‘맛있는 음식’이라는 뜻의 온라인 신조어.
걍생,‘그냥 생’의 준말. 갓생에 반대되는 말로 부지런하고 알찬 삶을 살지 말고 그냥 있는대로 살자는 뜻.
잘파세대,Z세대와 알파세대를 묶어 부르는 말. 1996년 이후 출생자를 가리킴.
생일 카페,유명인이나 캐릭터의 생일을 기념하기 위해 열리는 오프라인 이벤트를 총칭하는 말.
반캉스,숙박이 아닌 다른 목적으로 낮 시간 호캉스를 즐기는 문화.
영통 팬싸,영상 통화로 하는 팬 사인회의 줄임말. 코로나 사태 이후 활성화 된 비대면 팬 이벤트 종류의 하나.
지비츠,신발 ‘크록스’를 장식하는 아이템. 각종 캐릭터 모양 등 알파세대와 Z세대의 트렌드를 반영한 형태가 많음.
캐릿 알파세대 자문단,"1020으로 구성된 캐릿의 알파세대 자문단 그룹. 동생, 과외 학생 등 알파세대와 접점이 있는 이들로 구성되어 있으며 알파세대 트렌드를 발 빠르게 전하는 역할을 맡고 있음."
글 리젠,글+리젠(regen)의 합성어. 게시판 등에 새로운 글이 자주 올라올 때 ‘글리젠이 빠르다’라고 표현함.
생성형 AI,기존 데이터와 비교 학습을 통해 새로운 창작물을 탄생시키는 인공지능을 뜻함
좋댓공,"SNS 게시물에 ‘좋아요’를 누르고, 공유하고, 댓글을 달아 주는 일."
힙성비,비용 대비 트렌디하고 힙한 느낌을 극대화한 마케팅 방식
밥친구,"밥 먹을 때 보는 유튜브 영상, 콘텐츠 등을 의미함."
캘박,‘캘린더’와 ‘박제’의 줄임말. 중요한 일정을 캘린더에 저장해둔다는 뜻임.
중꺾마,‘중요한 건 꺾이지 않는 마음’을 줄인 말. 최약체 팀이 롤드컵에서 우승한 사건을 다룬 기사 제목에서 유래한 MZ세대 유행어.
엄카,‘엄마 카드’ 등 부모님의 카드를 부르는 말.
박음질,인스타그램 스토리 게시물을 하루에 많이 올리는 일을 부르는 MZ세대 유행어. 하루에 올린 게시물 개수만큼 화면 상단에 점이 찍히는 것에서 유래.
언더붑,총장이 짧아서 가슴 아래 부분이 드러나는 상의를 부르는 말.
트잘알,"‘잘 안다’, ‘잘 아는 사람’이라는 뜻의 신조어인 ‘잘알’ 앞에 ‘트렌드’의 앞 글자인 ‘트’가 붙은 형태. 즉, 트렌드를 잘 안다는 뜻."
뽐뿌,무언가를 소비하고 싶은 충동을 부르는 온라인 유행어.
타임 스탬프,유튜브 영상에서 특정 구간으로 바로 이동할 수 있도록 설명 란이나 댓글에 시간을 표시해 두는 기능.
농놀,‘농구 놀이’의 줄임말. 영화 <더 퍼스트 슬램덩크> 개봉으로 만들어진 농구 붐을 부르는 Z세대 유행어.
헬시플레저,‘건강하다(Healthy)’와 ‘기쁨(Pleasure)’의 합성어. 건강관리에 즐거움을 부여해 지속가능한 건강관리를 추구하는 것을 의미함.
진대,‘진지한 대화’의 줄임말.
시강,‘시선 강탈’의 줄임말. 유독 남들의 시선(이목)을 끄는 것을 의미함.
술터뷰,‘술을 마시면서 진행하는 인터뷰’라는 뜻.
섭종,‘서버 종료’ 또는 ‘서비스 종료’를 줄여 부르는 말.
어덕행덕,‘어차피 덕질할 거 행복하게 덕질하자.’를 줄여 이르는 말.
핫템,Hot + ‘아이템’의 합성어. 유행하는 아이템이나 꼭 필요한 아이템을 뜻함.
프박,‘프린팅박스’의 줄임말.
킹받는,"King +‘열받네’의 합성어. 기본적으로 열받는다는 의미지만, Z세대 사이에선 다양한 의미로 활용됨."
OOTD,‘Outfit Of The Day’의 줄임말. 당일 또는 특정 상황에서 입은 자신의 옷차림을 촬영하여 소셜미디어에 업로드하는 행위.
모먼트,‘순간’을 뜻하는 영어 단어인 ‘moment’를 그대로 발음한 말. 특정한 모습이나 행동을 보여주는 순간들을 강조할 때 사용함. [용례] ‘OO적 모먼트’
케미,서로 간의 궁합이나 호흡을 부르는 데 쓰이는 말. ‘chemistry’에서 유래.
병약미,‘병약하다’의 어근인 ‘병약’과 아름다움을 뜻하는 한자 ‘美’의 합성어.  ‘약하고 수척해 보여서 보호 본능을 자극하는 매력이 있다’는 뜻.
겟레디윗미,"쌩얼 상태에서 메이크업을 완성하는 과정을 보여주는 콘텐츠. ‘Get Ready With Me(=나랑 같이 준비하자)’를 그대로 발음한 용어로, 줄여서 ‘GRWM’로도 쓰임."
극호,‘극도로 호감’의 줄임말. 비슷한 의미의 표현으로는 ‘최애(=가장 사랑함)’가 있음.
억텐,"‘억지 텐션’의 줄임말로, 자신의 기분은 전혀 그렇지 않은데도 상대의 말이나 행동에 억지로 재미있는 척하거나 격한 반응을 보여주는 것을 의미함. 반대말은 ‘찐텐(=진짜 텐션)’"
트알못,‘트렌드를 잘 모르는 사람’을 뜻함.
음성 도네이션,주로 트위치 등 라이브 플랫폼에서 음성을 함께 보내는 후원 방식.
곰손,손재주가 영 없는 사람을 비유한 말. ↔ 유행어 ‘금손’
그린워싱(Green washing),실제론 친환경이 아닌데 친환경인 척 광고하는 것.
미디어 파사드,"미디어(media)와 건물의 표면을 뜻하는 파사드(facade)가 합성된 용어로, 건물의 외벽에 다양한 콘텐츠 영상을 투사하는 것"
GOAT,‘Greatest Of All Time’의 줄임말. 최근 MZ세대 사이에서 역대급 레전드를 논할 때 자주 쓰이는 표현.
아묻따,‘아무 것도 묻지도 따지지도 않고’의 줄임 말. 유명 광고에서 유래한 Z세대 유행어.
솔플러,혼자 활동을 즐기는 사람을 부르는 말. 주로 게임과 관련해서 쓰임.
어드벤트 캘린더,12월 1일부터 24일까지 크리스마스를 기다리면서 하나씩 선물을 열어보는 형식의 달력.
0차,"1차로 방문할 예정인 핫플레이스에 웨이팅이 길 경우, 대기를 걸어두고 방문하는 주변 공간을 가리킴."
찐친,‘진짜 친한 친구’를 뜻함.
모디슈머,Modify(수정하다)와 Consumer(소비자)의 합성어. 제조업체가 제공한 조리법을 따르지 않고 자신이 재창조한 방법으로 제품을 즐기는 소비자를 의미.
호불호,‘좋음과 좋지 않음’을 의미하는 말. 사람마다 좋고 싫음이 분명하게 나뉘어서 의견이 분분하다는 것을 의미함.
얼죽코,"‘얼죽코’란 얼어 죽어도 코트의 줄임말로, 날씨가 아주 추워도 코트 입는 것을 고집하는 것을 의미함."
Z세대,1996년 이후 출생~2010년대 초반 출생자.
뵤,‘햄스터’를 뜻하는 MZ세대 온라인 유행어. 햄스터의 표정에서 유래함.
블챌,‘블로그 챌린지’의 줄임말. 6월부터 12월까지 6개월간 진행되는 장기 프로젝트로 매주 지정된 카테고리에 한 건 이상의 일기를 작성해야 챌린지를 이어갈 수 있음.
서이추,‘서로 이웃 추가’의 줄임말. 네이버 블로그에서 쓰이는 용어.
드롭,"특정 날짜, 특정 시간에 소량의 상품을 기습적으로 판매하는 방식. MZ세대 타깃 브랜드가 ‘래플’과 함께 자주 사용하는 판매 방식."
POV,시점이라는 뜻의 ‘Point of View’의 약어. 주로 틱톡에서 상황극을 부르는 말로 쓰임.
빙의글,좋아하는 연예인을 대상으로 특정 상황을 설정해 작성한 글.
갓기,God + 아기. 나이가 어리면서 뛰어난 실력을 가진 사람을 칭찬하는 말.
사이다 서사,기승전결을 빠르게 진행하는 서사 전개 형식. 독자가 보기에 답답하거나 전개가 느린 구간이 최소화되었음을 탄산음료의 시원함에 비유한 용어.
RT,‘리트윗(ReTweet)’의 약자. 트위터에서 다른 계정의 게시물을 자신의 계정에 공유하는 기능을 의미함.
서동요 기법,바라는 일이 이미 이루어진 것처럼 꾸며서 얘기하고 다니는 것을 뜻하는 MZ세대 용어. 백제 무왕이 선화 공주와 결혼하기 위해 만들었던 ‘서동요’에서 유래함.
아트 테크,"‘아트’와 ‘재테크’의 합성어. 미술 작품, 음악 저작권 등 다양한 예술 분야에 자산을 투자하는 방식을 말함."
레게노,레전드(Legend)의 D를 O로 잘못 읽은 말. 게임 스트리머 우왁굳의 방송에서 유래한 유행어.
알잘딱깔센,‘알아서 잘 딱 깔끔하고 센스있게’의 줄임말. 게임 스트리머 우왁굳이 사용하며 널리 쓰이기 시작함.
갑툭튀,‘갑자기 툭 튀어나오다’의 줄임말
혼사,"‘혼자 사진 찍는다’의 줄임말. 인생네컷, 포토이즘 등의 포토부스에서 혼자 N컷 사진을 촬영하는 것을 뜻함."
킹받는다,"King +‘열받네’의 합성어. 기본적으로 열받는다는 의미지만, Z세대 사이에선 다양한 의미로 활용됨."
찐텐,‘진짜 텐션’의 줄임말. 꾸미지 않은 솔직한 분위기와 기분이 느껴진다는 뜻. 반대말은 ‘억텐(=억지 텐션)’.
띵 소비,"이미 소분된 제품을 구매하거나, 대용량 제품을 구입해서 여러 사람과 셀프로 나누는 소비 방식."
역조공,연예인이 자신의 팬들에게 선물을 주는 행동 혹은 그 선물을 가르키는 말.
킹리적 갓심,‘합리적 의심’에 접두어 ‘킹’과 ‘갓’을 붙여 강조한 신조어.
힙(hip),"유행에 민감하고 인기가 많음을 의미하는 단어. ‘힙하다’, ‘힙한 OO’로 쓰임. (유사어: 트렌디하다)"
미슐랭,특정 대상을 칭찬할 때 쓰이는 ‘OO 맛집이다’라는 표현이 변형된 버전. ex) “캐릿 트렌드 미슐랭이네”
맛없없,‘맛 없을 수 없다’의 줄임말.
실사,‘실제 사진’의 줄임말
먼치킨,비상식적으로 강한 캐릭터를 가르키는 용어. ‘세계관 최강자’와 비슷하게 의미로 사용할 수 있음.
맞춤형 광고,"이용자의 검색 기록, 구매 정보 등을 기반으로 노출되는 타깃 광고,"
긱 이코노미,Gig Economy. 기업들이 필요에 따라 단기 계약직이나 임시직으로 인력을 충원하고 그 대가를 지불하는 형태의 경제.
직찍,(공식적으로 촬영된 것이 아닌) 팬이 직접 찍은 사진.
언어 감수성,"언어에 대한 민감성, 언어에 대한 이해와 지식을 갖추어 일상 언어 속에 담긴 차별, 불평등, 반인권, 비민주적 요소를 감시해 내는 민감성."
인스타툰,인스타그램에 연재되는 만화(Cartoon)의 줄임말.
갓겜,God + Game. 잘 만든 게임을 칭찬할 때 쓰는 말.
포토프레스,사진(Photo)으로 자신을 표현하는(Express) Z세대를 일컫는 말.
소확성,‘소소하지만 확실한 성취감’의 줄임말.
컨포,‘컨셉 포토’의 줄임말. 아이돌 앨범에 함께 포함되어 있는 사진을 뜻함.
에듀테이너,교육 분야에서 활동하는 연예인 또는 엔터테이너. 에듀케이션(Education)과 엔터테이너(Entertainer)의 합성어.
내수 밈,"온라인에서 널리 쓰이는 밈이 아닌, 특정 트위치 스트리머가 진행하는 방송에서만 사용되는 밈. 마치 내수(국내 수요, Domestic)용 제품처럼 특정한 사람들만 사용하고 외부로 확장되지 않는다는 뜻에서 붙여진 말."
음식 예절샷,맛있는 음식을 먹을 때 포토카드를 들고 사진을 찍어 SNS에 공유하는 Z세대 온라인 문화를 부르는 말
모바일 네이티브,어릴 적부터 모바일 기기를 접하고 자유자재로 구사하는 세대. 1990년대 중반 이후 출생자.
쫌쫌따리,아주 조금씩 틈틈이를 뜻하는 MZ세대 신조어.
재주행,이미 본 작품을 다시 반복해서 보는 것을 부르는 말.
맵부심,‘맵(다)’+‘자부심’의 합성어. 매운 것을 잘 먹는 데 자부심이 있음을 뜻하는 말.
정권 지르기,Z세대에게 일종의 소취(소원성취)와 비슷한 의미로 쓰임. 휴재 중인 일본 만화 <헌터x헌터>의 연재 재개를 기원하는 유튜버가 매일 정권 지르기 천 번 라이브 방송을 한 데서 유래.
손민수,웹툰 <치즈인더트랩>의 등장인물로 주인공 홍설을 몰래 따라하는 캐릭터. MZ세대 사이에서 ‘따라한다’ = ‘손민수 한다’로 통함.
합방,합동방송의 줄임말. 주로 인터넷 방송에서 합동 콘텐츠를 찍는 것을 부르는 말.
틱톡,바이트댄스에서 2016년 출시한 숏폼 서비스.
릴스,인스타그램에서 2021년 출시한 숏폼 서비스.
쇼츠,유튜브에서 2021년 베타 출시한 숏폼 서비스.
홈트,‘홈 트레이닝’의 줄임말. 집에서 운동하는 것을 뜻함.
하지만꽃,벚꽃을 다르게 부르는 말. '벚꽃 = But꽃 = 하지만꽃'으로 바꿔 부른 카카오톡 짤에서 유래.
스불재,"‘스스로 불러온 재앙에 짓눌려’의 준말. 노래 Lazenca, save us에서 탄생한 밈."
홈술,집에서 술을 마시는 것. 코로나19 이후 증가한 트렌드.
미라클 모닝,"4시 30분, 6시 등 새벽에 일어나 하루를 시작하는 생활 방식. 미라클 모닝을 실천하는 유튜버들의 영향이 크며, Z세대의 갓생 트렌드와 연관이 깊음."
카공,카페에서 공부하는 것의 줄임말.
자강두천,‘자존심 강한 두 천재의 대결’을 줄여 부르는 말. 사소한 일로 투닥이는 것을 뜻함.
데스크테리어,데스크(Desk)+인테리어(Interior)의 합성어. 책상을 꾸미는 것을 뜻함.
준등기깡,준등기로 배송된 우편물을 뜯어보는 것. 10~20대는 포토 카드 등 소형 굿즈를 준등기로 거래하는 경우가 많아 생긴 신조어.
버블,스타와 마치 1:1 메시지를 주고받는 것처럼 소통할 수 있게 만들어진 프라이빗 메시지 앱. 유료로 이용이 가능하며 아이돌 팬덤이 활발하게 이용하는 서비스로 유명함.
깡,덕질 용어에서 처음 시작된 단어로 깡은 깐다의 줄임말. 원하는 제품을 깐다는 말로 해석할 수 있다. 비슷한 단어로는 언박싱이 있다.
껄무새,"앵무새처럼 ‘~살걸’, ‘~팔걸’을 반복하는 개인 투자자를 뜻함. (EX. 오늘 AA전자 주식 올랐네? 어제 살 걸.)"
군백기,군대와 공백기의 합성어. 군 복무로 인한 연예인의 공백기를 뜻함.
포카 슬리브,포토카드 사이즈로 제작된 얇은 포장용 비닐.
폴꾸,"폴라로이드 꾸미기, 포토카드를 폴라로이드 형태로 인쇄해서 꾸미는 것."
많관부,‘많은 관심 부탁드립니다’의 줄임말.
취준,‘취업 준비’의 줄임말.
FOMO,‘Fear Of Missing Out’의 약자로 소외되거나 뒤처지는 것에 대한 두려움을 뜻함.
밸런스 게임,"쉽게 고를 수 없는 두 가지 상황을 제시하고, 뭐가 더 나은지 선택하는 게임. 용례: 카레맛 똥 VS 똥맛 카레"
부캐,원래 캐릭터(‘본캐’)가 아닌 또 다른 캐릭터. 온라인 게임에서 유래한 말.
파이프라인,"돈이 들어오는 시스템, 수입원."
임플로이언서,Employee+Influencer. 직원으로서 기업의 브랜딩과 이미지에 영향력을 미치는 존재.
PTSD,외상 후 스트레스 장애의 약자. 일상에서는 “과거의 (안 좋은) 경험이 떠올라서 소름 돋는다.”라는 뉘앙스로 활용됨.
인싸,‘인사이더(insider)’를 줄인 한국식 영어 표현. 사람들과 잘 어울리며 발이 넓은 사람을 뜻함.
좋댓구알,"좋아요, 댓글, 구독, 알림설정의 줄임말"
공구,공동구매의 줄임말. 비용 절감 등을 이유로 특정 물건을 단체로 사는 구매 방식.
탑로더,위로 뚫려있는 입구로 사진이나 카드를 넣어 보관할 수 있는 플라스틱 재질의 보관함
자캐,자신이 직접 그리거나 만든 캐릭터
도아너,도안을 그리는 사람
랩핑지,A4~A5의 사이즈의 배경지. 주로 포장이나 꾸미기에 활용되고 있음.
도무송,칼선이 들어가 모양대로 뗄 수 있는 스티커. 일반적으로 한 장에 스티커 하나씩 들어가 있는 형태가 많음.
웃수저,"‘금수저’를 응용한 신조어로, 딱히 노력하지 않아도 주변 사람들에게 웃음을 주는 재능을 가진 사람을 뜻하는 말."
브이로그,브이로그(v-log): 비디오(video)와 블로그(blog)의 합성어. 자신의 일상을 영상으로 촬영한 콘텐츠를 말함.
캐릿 1020 자문단,"10대 50여 명, 20대(27세 이하) 100여 명으로 구성된 캐릿의 트렌드 자문 그룹. MZ세대만 아는 문화, 유행을 발 빠르게 전하는 역할을 맡고 있음."
액괴 유튜버,액괴란 액체괴물(슬라임)의 줄임말임. 액괴 유튜버란 ‘슬라임’을 만지고 노는 콘텐츠를 주로 업로드하는 유튜버를 뜻함.
액괴,액체 괴물의 줄임말. 알파 세대에게 인기 있는 장난감인 ‘슬라임’을 지칭하는 용어이다.
알티스타,"트윗의 리트윗(공유) 수가 1,000 단위를 넘어가며 화제가 되는 경우, 해당 트윗을 올린 트위터리안을 부르는 말."
까방,까임방지의 줄임말. 타인이나 사회의 비난을 미리 피하는 것을 의미함.
위꾸,위장 꾸미기. 맛있는 식사를 하는 것을 꾸미기에 빗대어 부르는 말.
먹시태그,먹다 + 해시태그(#)의 합성어. 주로 아이돌 팬들이 자신이 좋아하는 가수에게 음식을 추천해주고 싶을 때 사용함. 아이돌마다 고유의 먹시태그가 있음.
뇌이징,‘뇌+에이징’의 합성어. 처음 봤을 때 이상하던 디자인이 보면 볼수록 예뻐 보일 때 사용함.
콜렉트북,포토카드나 사진을 모아두는 앨범
한줌단,다 모아도 한 줌이 될 것 같은 적은 수의 집단을 부르는 말. MZ세대가 비주류를 지칭할 때 사용함.
샤라웃,‘Shout Out’의 한국식 발음. 주로 <쇼미더머니> 같은 힙합 경연 프로그램에서 존중의 의미를 담아 상대를 언급하는 행위를 말함. 요즘엔 ‘널리 알리다’라는 뜻으로도 사용됨.
불펌,"인터넷상에서, 불법으로 다른 사람의 게시물을 그대로 가져오거나 가져가는 일. ‘불법 퍼 옴’의 줄인 말이다."
OO깡,덕질 용어에서 처음 시작된 단어로 깡은 깐다의 줄임말. 원하는 제품을 깐다는 말로 해석할 수 있다. 비슷한 단어로는 언박싱이 있다.
시즈니,SM엔터테인먼트 보이그룹 NCT의 팬 ncitizen의 애칭.
생카,"생일 카페의 줄임말. 주로 아이돌의 생일을 기념하기 위해 열리며, 카페를 대관해 컵홀더 및 카페 내부를 아이돌 사진으로 꾸밈."
국그릇핑크퐁,웃음 소리를 나타낸 유행어 ‘ㅋㅋ루삥뽕’을 변형해서 쓰는 말.
미공포,‘미공개 포토카드’의 줄임말. 앨범에 수록된 ‘공식 포토카드’를 제외한 포토카드를 일컬음. 보통 아이돌 팬들이 각종 이벤트에 참여해서 받게 되는 경우가 많음.
구독팟,‘구독 파티원’의 줄임말. 구독료를 1/N 내고 사용하기 위해 여러 명이서 구독 서비스를 신청하는 MZ세대 문화를 나타냄.
솜뭉치,MZ세대가 ‘인형’을 부르는 애칭.
비상이다,MZ세대가 감동적인 상황에서 사용하는 유행어. 한 익명게시판의 썰에서 유래됨.
코끝모,코로나 끝나면 모이자를 줄인 신조어.
탭꾸,태블릿 pc 화면 꾸미기
랜봉,판매하는 아이템을 랜덤하게 봉투에 담았다는 뜻.
마테,마스킹테이프의 준말. 주로 다이어리 등을 꾸밀 때 이용됨
무나,무료 나눔의 준말
헤메코,헤어 메이크업 코디를 합쳐 부르는 말
뉴짤,"새로 뜬 사진, 새로 뜬 gif"
킹정,King +‘인정’의 합성어. 강한 인정을 의미함
어쩔티비,"알파 세대 유행어. ‘어쩌라고, TV나 봐’라는 의미로 추정됨."
킬포,‘킬링 포인트’의 줄임말. ‘하이라이트’와 비슷한 의미로 사용됨.
포카,포토 카드의 줄임말. 얼굴이 인쇄 된 명함 사이즈의 카드를 의미한다. 요즘 아이돌 앨범에 필수로 들어있는 굿즈임.
얼빡,얼굴이 한 프레임에 가득 찼다는 뜻. 이렇게 나온 사진을 ‘얼빡샷’이라고 부름.
인쇼,‘인터넷 쇼핑’의 줄임말.
뇌절,똑같은 말이나 행동을 반복해 상대를 질리게 하는 것을 지칭.
블친,블로그 친구의 줄임말.
젶크,"‘제페토 크루’를 줄여서 부르는 말로, 제페토를 함께 즐길 ‘파티원’을 뜻함."
댈컴,‘대리 커스터마이징’의 줄임말. 대리로 남의 아바타를 디자인해주는 것을 뜻함.
할매니얼,‘할매’와 ‘밀레니얼’ 세대의 합성어. 레트로 취향의 음식과 패션을 선호하는 밀레니얼 세대를 의미.
텍대,‘텍스트 대치’의 줄임말. 스마트폰 특정 자판을 누르면 정해진 문구가 나오도록 설정해둔 기능을 뜻함. Z세대는 보통 이모티콘이 들어간 주접 문구를 텍대로 설정해두고 활용함.
웃참,‘웃음 참기’의 줄임말. 웃기지만 웃어서 안되는 일이 있을 때 ‘웃음 참기 챌린지’를 한다고 표현하기도 함.
드볼,"포카, 스티커 등 여러 종으로 나온 굿즈를 모두 모으는 것을 만화 <드래곤 볼>에 빗대어 부르는 말."
쩝쩝박사,"음식에 대해 식견이 높거나, 맛있는 음식 조합을 잘 아는 사람들을 뜻하는 말"
인급동,"‘인기 급상승 동영상’의 줄임말. 유튜브에서 단시간에 높은 조회 수를 기록하고, 화제가 된 영상을 일컬음."
퍼컬,"‘퍼스널 컬러’의 줄임말. 퍼스널 컬러란, 개인의 피부톤에 어울리는 컬러를 뜻하는 말로 요즘 MZ세대는 자신의 퍼스널 컬러에 맞춰 의상, 화장품 등을 구입하려고 함."
저메추,‘저녁 메뉴 추천’의 줄임말. 뭘 먹으면 좋을지 상대에게 메뉴를 추천 받을 때 사용함. 비슷한 용어로 ‘점메추(점심 메뉴 추천)’가 있음.
영끌,‘영혼까지 끌어모은다’의 줄임말. 있는 돈 없는 돈 다 끌어모을 때 비유적으로 사용하는 표현.
실트 총공,원하는 메시지를 트위터 실시간 트렌드에 올리기 위해 해당 메시지가 포함된 트윗을 일제히 작성하는 것. 주로 아이돌 팬들이 최애의 생일을 축하할 때 벌임.
앨범깡,앨범 언박싱을 부르는 말. 주로 원하는 포토카드를 얻기 위해 연속해서 앨범을 열어보는 것을 말함.
인스스,‘인스타그램 스토리’를 줄여 부르는 말.
원툴,(one tool) 한 가지만 잘 한다는 말.
버실,버전 실시간의 줄임말. 슬라임 영상에 상황극 음성이나 자막을 입힌 콘텐츠를 말함.
사바사,‘사람 by 사람’의 줄임말. 사람마다 다 다르다는 것을 의미함.
